iso_code,continent,location,N_Year_CY,N_Month_CY,total_cases_CY,new_cases_CY,total_deaths_CY,new_deaths_CY,reproduction_rate_CY,N_Year_LY,N_Month_LY,total_cases_LY,new_cases_LY,total_deaths_LY,new_deaths_LY,reproduction_rate_LY
KWT,Asia,Kuwait,2021,11,12390816.0,684.0,73895.0,4.0,29.910000000000004,2020,11,4082135.0,16709.0,25156.0,101.0,25.739999999999995
PRY,South America,Paraguay,2021,9,13781725.0,1439.0,482465.0,431.0,22.909999999999997,2020,9,895490.0,23096.0,17590.0,531.0,33.14
VGB,North America,British Virgin Islands,2021,12,90651.0,719.0,1197.0,1.0,0.0,2020,12,2457.0,15.0,31.0,0.0,0.0
SYC,Africa,Seychelles,2021,11,682751.0,1174.0,3666.0,6.0,34.84000000000001,2020,11,4785.0,20.0,0.0,0.0,5.460000000000001
SGP,Asia,Singapore,2021,11,7138631.0,66351.0,17645.0,311.0,24.720000000000002,2020,11,1743530.0,203.0,843.0,1.0,30.39
RWA,Africa,Rwanda,2021,11,3003360.0,651.0,40123.0,11.0,22.99,2020,11,164524.0,797.0,1274.0,14.0,38.53000000000001
LSO,Africa,Lesotho,2021,11,651203.0,144.0,19813.0,4.0,19.8,2020,11,61138.0,156.0,1320.0,0.0,26.880000000000003
TCA,North America,Turks and Caicos Islands,2021,5,74541.0,29.0,527.0,0.0,0.0,2020,5,372.0,0.0,31.0,0.0,0.0
GHA,Africa,Ghana,2021,6,2842549.0,2016.0,23716.0,11.0,36.57000000000001,2020,6,370733.0,9671.0,2018.0,76.0,36.30000000000001
MDV,Asia,Maldives,2021,10,2671076.0,2829.0,7349.0,12.0,32.31999999999999,2020,10,343649.0,1368.0,1105.0,4.0,27.710000000000004
GEO,Asia,Georgia,2021,9,17588555.0,63201.0,249705.0,1538.0,24.749999999999993,2020,9,91939.0,4705.0,664.0,20.0,52.96
STP,Africa,Sao Tome and Principe,2021,6,70746.0,21.0,1118.0,-1.0,25.84,2020,6,18865.0,231.0,367.0,1.0,12.860000000000001
LIE,Europe,Liechtenstein,2021,10,111531.0,105.0,1844.0,3.0,35.71,2020,10,8047.0,456.0,34.0,2.0,53.38999999999999
BTN,Asia,Bhutan,2021,5,40790.0,546.0,31.0,0.0,36.56999999999999,2020,5,561.0,36.0,0.0,0.0,0.0
LTU,Europe,Lithuania,2021,5,8176274.0,27114.0,127296.0,343.0,26.470000000000002,2020,5,47420.0,292.0,1304.0,22.0,25.4
KOR,Asia,South Korea,2021,3,3003141.0,13608.0,52018.0,130.0,31.93,2020,3,244918.0,6636.0,2606.0,146.0,25.67
SLB,Oceania,Solomon Islands,2021,10,620.0,0.0,0.0,0.0,0.0,2020,10,87.0,8.0,0.0,0.0,0.0
MHL,Oceania,Marshall Islands,2021,10,124.0,0.0,0.0,0.0,0.0,2020,10,8.0,2.0,0.0,0.0,0.0
BHS,North America,Bahamas,2021,5,345301.0,1343.0,6761.0,31.0,34.37,2020,5,2933.0,21.0,341.0,0.0,3.04
SSD,Africa,South Sudan,2021,6,322251.0,146.0,3455.0,2.0,16.0,2020,6,49168.0,1013.0,780.0,28.0,21.179999999999996
