iso_code,continent,location,N_Year,N_Month,N_YM,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate
TWN,Asia,Taiwan,2020,8,202008,14954.0,21.0,217.0,0.0,626.87,0.8810000000000001,9.083,0.0,23.449999999999996
OWID_INT,,International,2022,1,202201,11536.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0
CUW,North America,Curacao,2021,9,202109,477144.0,1201.0,4648.0,19.0,2895361.5390000003,7287.7970000000005,28204.568999999996,115.29199999999997,0.0
PRY,South America,Paraguay,2022,1,202201,7564113.0,9585.0,266510.0,46.0,1047713.1779999997,1327.629,36914.577999999994,6.371999999999999,16.61
CYP,Europe,Cyprus,2021,12,202112,4492797.0,32354.0,19094.0,41.0,5014254.387,36109.172999999995,21310.14899999999,45.75599999999999,42.540000000000006
CHL,South America,Chile,2020,11,202011,15945192.0,41487.0,444645.0,1203.0,829944.3870000001,2159.3910000000005,23143.691000000003,62.614,29.919999999999995
PRT,Europe,Portugal,2020,7,202007,1466385.0,8931.0,51775.0,159.0,144216.768,878.3510000000001,5091.991999999999,15.639,28.279999999999998
MWI,Africa,Malawi,2021,4,202104,1016210.0,527.0,34046.0,31.0,51721.622,26.824,1732.8249999999998,1.5810000000000002,22.98
MDG,Africa,Madagascar,2021,9,202109,1286768.0,29.0,28728.0,2.0,45265.17399999999,1.0219999999999998,1010.5800000000006,0.07,10.910000000000002
MYS,Asia,Malaysia,2021,5,202105,14842763.0,163644.0,61917.0,1290.0,452851.92299999995,4992.768999999999,1889.0829999999999,39.355999999999995,37.17999999999999
DEU,Europe,Germany,2021,11,202111,155795330.0,1315606.0,2951652.0,6059.0,1856906.5039999997,15680.555000000002,35180.397000000004,72.216,38.88
MDV,Asia,Maldives,2020,5,202005,32674.0,1305.0,108.0,4.0,60104.483,2400.5719999999997,198.67400000000006,7.36,36.08
TGO,Africa,Togo,2020,8,202008,36091.0,459.0,776.0,9.0,4256.896000000001,54.138,91.53700000000003,1.0619999999999998,33.830000000000005
TON,Oceania,Tonga,2021,6,202106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,Africa,Malawi,2020,7,202007,82400.0,2854.0,1690.0,100.0,4193.879000000001,145.25799999999998,86.01400000000001,5.092,36.7
SWZ,Africa,Eswatini,2021,7,202107,660062.0,6895.0,22192.0,109.0,563015.5670000002,5881.257,18929.195,92.977,41.339999999999996
EST,Europe,Estonia,2021,3,202103,2713051.0,40824.0,23021.0,313.0,2047295.178,30806.196000000007,17371.875,236.19199999999998,32.05
MAC,Asia,Macao,2020,10,202010,1426.0,0.0,0.0,0.0,2165.8769999999995,0.0,0.0,0.0,0.0
OMN,Asia,Oman,2020,5,202005,169194.0,9089.0,774.0,38.0,32391.695,1740.0629999999999,148.182,7.27,42.78000000000001
OWID_LIC,,Low income,2020,12,202012,10824943.0,69055.0,274602.0,1758.0,16274.460000000001,103.819,412.84299999999996,2.644,0.0
MKD,Europe,North Macedonia,2020,8,202008,393574.0,3587.0,16907.0,117.0,188976.50600000002,1722.314,8117.977000000001,56.176999999999985,29.71
ETH,Africa,Ethiopia,2022,1,202201,7086137.0,36980.0,112612.0,210.0,60115.06399999999,313.71899999999994,955.3419999999999,1.782,11.599999999999998
ATG,North America,Antigua and Barbuda,2020,6,202006,1026.0,43.0,90.0,0.0,10392.195,435.53999999999996,911.6099999999992,0.0,0.0
USA,North America,United States,2020,12,202012,529498568.0,6476632.0,9668341.0,80927.0,1590491.417,19454.304000000004,29041.460000000003,243.08699999999993,32.32000000000001
ISR,Asia,Israel,2021,9,202109,35847219.0,215866.0,223158.0,718.0,3858273.4930000002,23233.879999999997,24018.732,77.27900000000001,27.380000000000003
USA,North America,United States,2021,2,202102,776067110.0,2402406.0,13604749.0,65786.0,2331126.3759999997,7216.273,40865.52500000001,197.609,22.590000000000003
DZA,Africa,Algeria,2020,10,202010,1683631.0,6412.0,57192.0,228.0,37735.509999999995,143.712,1281.855,5.1080000000000005,34.089999999999996
ERI,Africa,Eritrea,2020,10,202010,13346.0,88.0,0.0,0.0,3705.7219999999998,24.434,0.0,0.0,17.190000000000005
SLV,North America,El Salvador,2020,6,202006,122784.0,3921.0,2638.0,128.0,18836.236,601.52,404.69399999999996,19.637,35.86999999999998
OWID_SAM,,South America,2021,10,202110,1180939348.0,601617.0,36070872.0,15185.0,2719428.395,1385.3839999999996,83062.818,34.97000000000002,0.0
VNM,Asia,Vietnam,2021,8,202108,9098544.0,312036.0,192815.0,9758.0,92682.61600000001,3178.564,1964.1149999999998,99.40000000000002,35.92999999999999
SUR,South America,Suriname,2022,1,202201,927936.0,11432.0,19174.0,24.0,1567994.4829999998,19317.402,32399.568,40.558,29.01
AZE,Asia,Azerbaijan,2021,4,202104,8816077.0,57396.0,121720.0,950.0,862347.68,5614.208,11906.085,92.92600000000002,30.569999999999997
LAO,Asia,Laos,2020,10,202010,724.0,1.0,0.0,0.0,98.11199999999994,0.136,0.0,0.0,0.0
COD,Africa,Democratic Republic of Congo,2020,3,202003,642.0,98.0,41.0,8.0,6.952999999999999,1.0599999999999998,0.44499999999999995,0.087,0.0
MNG,Asia,Mongolia,2020,7,202007,8047.0,71.0,0.0,0.0,2417.037,21.326,0.0,0.0,11.69
SRB,Europe,Serbia,2021,2,202102,11879989.0,63996.0,118697.0,423.0,1728866.7310000004,9313.188000000002,17273.696000000004,61.553000000000004,31.680000000000007
HKG,Asia,Hong Kong,2021,9,202109,364631.0,105.0,6378.0,1.0,48277.594,13.9,844.4460000000004,0.132,0.0
SYR,Asia,Syria,2020,4,202004,921.0,33.0,72.0,1.0,50.396000000000015,1.806,3.9300000000000015,0.055,0.0
CYP,Europe,Cyprus,2021,7,202107,2786245.0,26374.0,12079.0,45.0,3109631.0859999997,29435.102000000006,13480.949999999995,50.21999999999999,40.669999999999995
PRY,South America,Paraguay,2021,3,202103,5750218.0,55193.0,111906.0,1025.0,796468.6900000001,7644.838999999999,15500.213000000005,141.97500000000002,34.26
HRV,Europe,Croatia,2021,2,202102,6657593.0,10547.0,148719.0,499.0,1631100.5559999999,2583.9960000000005,36435.935999999994,122.25499999999998,26.340000000000003
CYP,Europe,Cyprus,2020,11,202011,216721.0,6166.0,1096.0,23.0,241874.76799999998,6881.656999999997,1223.2119999999998,25.668,35.3
GRL,North America,Greenland,2021,6,202106,1386.0,10.0,0.0,0.0,24372.232999999993,175.847,0.0,0.0,0.0
ARE,Asia,United Arab Emirates,2021,11,202111,22231093.0,2136.0,64275.0,11.0,2225093.4149999996,213.79100000000003,6433.233,1.1,27.51999999999999
BDI,Africa,Burundi,2021,9,202109,433981.0,5734.0,1140.0,0.0,35411.332,467.875,93.02999999999999,0.0,22.78000000000001
MAC,Asia,Macao,2021,5,202105,1543.0,2.0,0.0,0.0,2343.6,3.038,0.0,0.0,0.0
TGO,Africa,Togo,2021,2,202102,166043.0,1827.0,2257.0,7.0,19584.603,215.49199999999996,266.21400000000006,0.826,31.549999999999994
POL,Europe,Poland,2020,5,202005,568704.0,10909.0,27459.0,420.0,15046.272999999997,288.619,726.4870000000001,11.113000000000001,31.690000000000005
BGR,Europe,Bulgaria,2020,12,202012,5636378.0,56966.0,187730.0,3541.0,817262.5700000001,8259.944000000001,27220.445999999993,513.445,24.360000000000007
BLZ,North America,Belize,2021,12,202112,968822.0,2409.0,18239.0,24.0,2392655.2490000003,5949.396,45044.02100000001,59.27299999999999,39.73000000000001
OWID_OCE,,Oceania,2021,12,202112,13161977.0,196940.0,135756.0,295.0,304534.73,4556.692,3141.0490000000004,6.8249999999999975,0.0
PAK,Asia,Pakistan,2020,7,202007,7910429.0,64835.0,166284.0,1556.0,35126.252,287.901,738.386,6.911000000000002,23.19000000000001
SMR,Europe,San Marino,2020,4,202004,11807.0,327.0,1085.0,15.0,347162.60199999996,9614.818,31902.385,441.0450000000001,30.450000000000003
LIE,Europe,Liechtenstein,2021,12,202112,170897.0,1453.0,2065.0,8.0,4467428.242999999,37982.956,53981.288,209.128,32.980000000000004
OWID_OCE,,Oceania,2021,6,202106,2131747.0,5900.0,37846.0,28.0,49323.21300000001,136.51100000000002,875.658,0.6470000000000001,0.0
BEN,Africa,Benin,2020,3,202003,68.0,9.0,0.0,0.0,5.464,0.722,0.0,0.0,0.0
ETH,Africa,Ethiopia,2021,10,202110,11085834.0,19493.0,190208.0,877.0,94046.39099999999,165.368,1613.628,7.439999999999999,24.61
OWID_OCE,,Oceania,2020,1,202001,38.0,9.0,0.0,0.0,0.88,0.208,0.0,0.0,0.0
JPN,Asia,Japan,2020,8,202008,1701860.0,32129.0,34929.0,287.0,13501.381999999998,254.89099999999996,277.1,2.2790000000000004,30.200000000000006
ABW,North America,Aruba,2020,9,202009,94766.0,1957.0,599.0,17.0,884052.43,18256.449999999993,5587.946000000002,158.59300000000005,0.0
ARM,Asia,Armenia,2020,11,202011,3480514.0,45311.0,53074.0,823.0,1172629.348,15265.850999999999,17881.305,277.27899999999994,27.71
ABW,North America,Aruba,2020,3,202003,338.0,55.0,0.0,0.0,3153.133,513.084,0.0,0.0,0.0
ITA,Europe,Italy,2021,11,202111,146467420.0,256582.0,3987145.0,1728.0,2426263.9729999998,4250.338,66047.907,28.626,37.76
OWID_EUN,,European Union,2021,7,202107,1047001521.0,1647475.0,22991298.0,4641.0,2341290.548,3684.062,51412.827000000005,10.376999999999999,0.0
MMR,Asia,Myanmar,2020,4,202004,2408.0,136.0,110.0,5.0,43.93500000000001,2.4789999999999996,2.0029999999999997,0.09,4.760000000000001
AFG,Asia,Afghanistan,2020,9,202009,1166401.0,1106.0,43060.0,56.0,29280.496,27.767999999999997,1080.949,1.4029999999999998,30.16
ALB,Europe,Albania,2021,7,202107,4113962.0,560.0,76140.0,1.0,1431972.3320000002,194.92299999999997,26502.516999999993,0.348,46.470000000000006
GNQ,Africa,Equatorial Guinea,2021,2,202102,159963.0,489.0,2461.0,5.0,110327.60500000003,337.266,1697.3729999999996,3.449,33.71
AZE,Asia,Azerbaijan,2021,8,202108,11654596.0,81042.0,162064.0,613.0,1139998.4209999996,7927.15,15852.344,59.959999999999994,45.99
