iso_code,continent,location,LY,LW,total_cases_LY,new_cases_LY,total_deaths_LY,new_deaths_LY,reproduction_rate_LY,CY,CW,total_cases_CT,new_cases_CT,total_deaths_CT,new_deaths_CT,reproduction_rate_CT
HKG,Asia,Hong Kong,2020,23,6579.0,21.0,24.0,0.0,0.0,2021,23,23678.0,4.0,420.0,0.0,0.0
HKG,Asia,Hong Kong,2020,23,1084.0,2.0,4.0,0.0,0.0,2021,23,23678.0,4.0,420.0,0.0,0.0
ZMB,Africa,Zambia,2020,48,122590.0,195.0,2499.0,1.0,6.6000000000000005,2021,48,1470700.0,81.0,25669.0,0.0,7.78
COG,Africa,Congo,2020,52,45592.0,708.0,707.0,7.0,3.289999999999999,2021,52,135808.0,311.0,2565.0,2.0,4.69
COL,South America,Colombia,2020,48,8907491.0,59120.0,250937.0,1297.0,7.479999999999999,2021,48,35387933.0,17765.0,897682.0,340.0,7.390000000000001
BGD,Asia,Bangladesh,2020,10,0.0,0.0,0.0,0.0,0.0,2021,10,3289504.0,3508.0,50594.0,43.0,7.609999999999999
SVN,Europe,Slovenia,2020,38,27798.0,706.0,957.0,6.0,9.73,2021,38,1954867.0,7320.0,31363.0,25.0,8.830000000000002
OWID_EUR,,Europe,2020,10,36697.0,8385.0,930.0,232.0,0.0,2021,10,34578068.0,123336.0,814594.0,1800.0,0.0
CUB,North America,Cuba,2020,50,63578.0,640.0,953.0,1.0,8.420000000000002,2021,50,6743387.0,564.0,58176.0,6.0,4.02
KEN,Africa,Kenya,2020,29,78927.0,3024.0,1457.0,41.0,9.22,2021,29,1332749.0,3922.0,26174.0,39.0,8.14
NOR,Europe,Norway,2020,15,42658.0,859.0,677.0,57.0,5.31,2021,15,706809.0,4872.0,4761.0,11.0,6.36
AUT,Europe,Austria,2020,44,638126.0,26896.0,7250.0,144.0,11.04,2021,44,5671799.0,30315.0,79074.0,100.0,9.58
PNG,Oceania,Papua New Guinea,2020,34,2433.0,90.0,24.0,1.0,7.030000000000001,2021,34,124758.0,26.0,1344.0,0.0,4.09
SUR,South America,Suriname,2020,51,37892.0,171.0,820.0,1.0,13.28,2021,51,359106.0,239.0,8254.0,7.0,7.74
DEU,Europe,Germany,2020,39,1956046.0,12094.0,65954.0,71.0,8.01,2021,39,29216093.0,54864.0,652485.0,434.0,6.63
LVA,Europe,Latvia,2020,2,0.0,0.0,0.0,0.0,0.0,2021,2,318007.0,7023.0,5257.0,150.0,7.4700000000000015
KHM,Asia,Cambodia,2020,36,1370.0,0.0,0.0,0.0,1.0399999999999998,2021,36,277879.0,1285.0,5676.0,33.0,2.91
KHM,Asia,Cambodia,2020,36,547.0,1.0,0.0,0.0,0.49,2021,36,277879.0,1285.0,5676.0,33.0,2.91
CMR,Africa,Cameroon,2020,21,26984.0,1295.0,1040.0,19.0,8.879999999999999,2021,21,537645.0,2787.0,8349.0,87.0,2.87
GTM,North America,Guatemala,2020,9,0.0,0.0,0.0,0.0,0.0,2021,9,1208586.0,3404.0,44286.0,125.0,6.96
MYS,Asia,Malaysia,2020,8,154.0,0.0,0.0,0.0,0.0,2021,8,1905000.0,18467.0,6985.0,100.0,6.09
UGA,Africa,Uganda,2020,20,1100.0,111.0,0.0,0.0,8.26,2021,20,297579.0,366.0,2424.0,1.0,9.080000000000002
UZB,Asia,Uzbekistan,2020,49,367544.0,657.0,3055.0,1.0,4.52,2021,49,579104.0,609.0,4198.0,7.0,2.82
UZB,Asia,Uzbekistan,2020,49,145964.0,376.0,1218.0,2.0,1.82,2021,49,579104.0,609.0,4198.0,7.0,2.82
OWID_AFR,,Africa,2020,11,958.0,209.0,22.0,7.0,0.0,2021,11,27960451.0,71441.0,746626.0,2045.0,0.0
MLT,Europe,Malta,2020,26,4668.0,6.0,63.0,0.0,3.67,2021,26,214176.0,18.0,2940.0,0.0,9.14
HTI,North America,Haiti,2020,15,175.0,12.0,7.0,2.0,0.0,2021,15,89641.0,52.0,1764.0,0.0,8.0
SEN,Africa,Senegal,2020,10,19.0,4.0,0.0,0.0,0.0,2021,10,210948.0,1112.0,5372.0,35.0,5.0
SWZ,Africa,Eswatini,2020,23,285.0,2.0,2.0,0.0,0.82,2021,23,93110.0,41.0,3365.0,0.0,7.03
SWZ,Africa,Eswatini,2020,23,1809.0,37.0,18.0,1.0,7.43,2021,23,93110.0,41.0,3365.0,0.0,7.03
MOZ,Africa,Mozambique,2020,49,79725.0,432.0,661.0,2.0,4.96,2021,49,454600.0,33.0,5822.0,1.0,6.43
MOZ,Africa,Mozambique,2020,49,31314.0,115.0,261.0,2.0,1.85,2021,49,454600.0,33.0,5822.0,1.0,6.43
OWID_EUN,,European Union,2020,6,173.0,12.0,0.0,0.0,0.0,2021,6,19789895.0,72098.0,470905.0,1432.0,0.0
BWA,Africa,Botswana,2020,23,238.0,5.0,6.0,0.0,0.0,2021,23,278597.0,1244.0,4296.0,17.0,6.939999999999999
BWA,Africa,Botswana,2020,23,35.0,0.0,1.0,0.0,0.0,2021,23,278597.0,1244.0,4296.0,17.0,6.939999999999999
COD,Africa,Democratic Republic of Congo,2020,18,1278.0,102.0,65.0,2.0,2.46,2021,18,178321.0,355.0,4564.0,10.0,6.48
COD,Africa,Democratic Republic of Congo,2020,18,2435.0,156.0,147.0,3.0,6.120000000000001,2021,18,178321.0,355.0,4564.0,10.0,6.48
OMN,Asia,Oman,2020,10,87.0,10.0,0.0,0.0,0.0,2021,10,141496.0,908.0,1570.0,8.0,1.25
CIV,Africa,Cote d'Ivoire,2020,15,2738.0,288.0,22.0,3.0,10.270000000000001,2021,15,314477.0,471.0,1802.0,8.0,3.9000000000000004
AUS,Oceania,Australia,2020,35,177159.0,859.0,3957.0,109.0,4.319999999999999,2021,35,335246.0,7230.0,6926.0,18.0,9.99
NOR,Europe,Norway,2020,40,42795.0,335.0,824.0,1.0,3.3,2021,40,941104.0,2877.0,4273.0,11.0,3.8699999999999997
NOR,Europe,Norway,2020,40,55428.0,400.0,1092.0,4.0,4.199999999999999,2021,40,941104.0,2877.0,4273.0,11.0,3.8699999999999997
LSO,Africa,Lesotho,2020,49,4218.0,0.0,88.0,0.0,2.4299999999999997,2021,49,65302.0,24.0,1986.0,0.0,2.95
LSO,Africa,Lesotho,2020,49,10724.0,41.0,220.0,0.0,6.5,2021,49,65302.0,24.0,1986.0,0.0,2.95
PRT,Europe,Portugal,2020,21,207920.0,1661.0,8827.0,99.0,6.550000000000001,2021,21,5903436.0,2963.0,119088.0,11.0,7.640000000000001
OWID_EUN,,European Union,2020,49,23131941.0,182573.0,531422.0,5371.0,0.0,2021,49,139057092.0,705081.0,2527870.0,5263.0,0.0
OWID_EUN,,European Union,2020,49,60113669.0,679075.0,1396559.0,18973.0,0.0,2021,49,139057092.0,705081.0,2527870.0,5263.0,0.0
FRA,Europe,France,2020,24,1363069.0,3454.0,205121.0,256.0,6.02,2021,24,40369238.0,30237.0,771552.0,412.0,4.8
OWID_UMC,,Upper middle income,2020,18,1233832.0,50132.0,54956.0,2757.0,0.0,2021,18,271762290.0,1183049.0,7814346.0,36462.0,0.0
OWID_UMC,,Upper middle income,2020,18,2660445.0,108549.0,114471.0,5726.0,0.0,2021,18,271762290.0,1183049.0,7814346.0,36462.0,0.0
URY,South America,Uruguay,2020,44,20870.0,317.0,389.0,5.0,7.96,2021,44,2750242.0,1689.0,42524.0,6.0,8.52
UGA,Africa,Uganda,2020,46,105082.0,1723.0,968.0,13.0,8.1,2021,46,887038.0,397.0,22623.0,11.0,6.200000000000001
BEN,Africa,Benin,2020,13,37.0,4.0,0.0,0.0,0.0,2021,13,48854.0,282.0,630.0,0.0,5.170000000000001
BEN,Africa,Benin,2020,18,320.0,10.0,5.0,0.0,0.0,2021,18,7821.0,0.0,99.0,0.0,0.62
BEN,Africa,Benin,2020,18,180.0,26.0,4.0,1.0,0.0,2021,18,7821.0,0.0,99.0,0.0,0.62
UKR,Europe,Ukraine,2020,18,47308.0,2281.0,1179.0,60.0,5.709999999999999,2021,18,12596085.0,52928.0,269948.0,2039.0,4.739999999999999
UKR,Europe,Ukraine,2020,18,22272.0,1005.0,551.0,18.0,2.1500000000000004,2021,18,12596085.0,52928.0,269948.0,2039.0,4.739999999999999
UZB,Asia,Uzbekistan,2020,50,520784.0,1060.0,4279.0,1.0,6.49,2021,50,1364364.0,1419.0,9980.0,18.0,6.66
VEN,South America,Venezuela,2020,37,396069.0,7465.0,3165.0,57.0,7.080000000000001,2021,37,2400350.0,8455.0,28988.0,120.0,7.57
MEX,North America,Mexico,2020,3,0.0,0.0,0.0,0.0,0.0,2021,3,11031963.0,106222.0,957852.0,7037.0,7.6899999999999995
GNB,Africa,Guinea-Bissau,2020,17,354.0,6.0,0.0,0.0,0.0,2021,17,26017.0,14.0,463.0,1.0,5.41
GUY,South America,Guyana,2020,13,67.0,1.0,7.0,0.0,0.0,2021,13,68846.0,487.0,1542.0,11.0,8.120000000000001
BLR,Europe,Belarus,2020,9,2.0,1.0,0.0,0.0,0.0,2021,9,1973260.0,8969.0,13573.0,63.0,6.539999999999999
MCO,Europe,Monaco,2020,42,1727.0,27.0,14.0,0.0,9.26,2021,42,23414.0,25.0,245.0,0.0,6.63
SVK,Europe,Slovakia,2020,45,497686.0,19332.0,1888.0,132.0,7.77,2021,45,5514151.0,40829.0,78750.0,171.0,7.88
CAN,North America,Canada,2020,35,897671.0,3161.0,64156.0,42.0,7.9399999999999995,2021,35,10409195.0,21005.0,188204.0,162.0,9.100000000000001
COD,Africa,Democratic Republic of Congo,2020,45,80162.0,244.0,2192.0,9.0,8.14,2021,45,57470.0,0.0,1091.0,0.0,1.01
PER,South America,Peru,2020,16,79481.0,7572.0,8510.0,875.0,11.860000000000001,2021,16,11674884.0,57859.0,1079975.0,5959.0,7.230000000000001
CRI,North America,Costa Rica,2020,40,233839.0,3422.0,2797.0,46.0,3.04,2021,40,1067746.0,1688.0,12826.0,27.0,1.77
CRI,North America,Costa Rica,2020,40,296127.0,3711.0,3473.0,76.0,4.06,2021,40,1067746.0,1688.0,12826.0,27.0,1.77
